"","symbol","price"
"1","ETHBTC","0.03289800"
"2","LTCBTC","0.00811800"
"3","BNBBTC","0.00148930"
"4","NEOBTC","0.00250100"
"5","QTUMETH","0.01850000"
"6","EOSETH","0.02566200"
"7","SNTETH","0.00017082"
"8","BNTETH","0.00636600"
"9","BCCBTC","0.08883900"
"10","GASBTC","0.00078700"
"11","BNBETH","0.04532200"
"12","BTCUSDT","6418.08000000"
"13","ETHUSDT","211.18000000"
"14","OAXETH","0.00137550"
"15","DNTETH","0.00012975"
"16","MCOETH","0.02020600"
"17","MCOBTC","0.00066600"
"18","WTCBTC","0.00046600"
"19","WTCETH","0.01415500"
"20","LRCBTC","0.00001623"
"21","LRCETH","0.00049561"
"22","QTUMBTC","0.00061000"
"23","YOYOBTC","0.00000537"
"24","OMGBTC","0.00051900"
"25","OMGETH","0.01575700"
"26","ZRXBTC","0.00011226"
"27","ZRXETH","0.00340819"
"28","STRATBTC","0.00023120"
"29","STRATETH","0.00704400"
"30","SNGLSBTC","0.00000458"
"31","SNGLSETH","0.00013912"
"32","BQXBTC","0.00005221"
"33","BQXETH","0.00158740"
"34","KNCBTC","0.00006114"
"35","KNCETH","0.00186150"
"36","FUNBTC","0.00000191"
"37","FUNETH","0.00005805"
"38","SNMBTC","0.00000982"
"39","SNMETH","0.00029870"
"40","NEOETH","0.07585700"
"41","IOTABTC","0.00007403"
"42","IOTAETH","0.00224801"
"43","LINKBTC","0.00007655"
"44","LINKETH","0.00231694"
"45","XVGBTC","0.00000207"
"46","XVGETH","0.00006277"
"47","SALTBTC","0.00009900"
"48","SALTETH","0.00302600"
"49","MDABTC","0.00018001"
"50","MDAETH","0.00548590"
"51","MTLBTC","0.00009960"
"52","MTLETH","0.00302700"
"53","SUBBTC","0.00001692"
"54","SUBETH","0.00051530"
"55","EOSBTC","0.00084480"
"56","SNTBTC","0.00000561"
"57","ETCETH","0.04510000"
"58","ETCBTC","0.00148500"
"59","MTHBTC","0.00000814"
"60","MTHETH","0.00024873"
"61","ENGBTC","0.00009722"
"62","ENGETH","0.00295390"
"63","DNTBTC","0.00000428"
"64","ZECBTC","0.02147200"
"65","ZECETH","0.65296000"
"66","BNTBTC","0.00020975"
"67","ASTBTC","0.00001488"
"68","ASTETH","0.00045240"
"69","DASHBTC","0.02532500"
"70","DASHETH","0.76813000"
"71","OAXBTC","0.00004536"
"72","BTGBTC","0.00458800"
"73","BTGETH","0.13937200"
"74","EVXBTC","0.00007960"
"75","EVXETH","0.00241700"
"76","REQBTC","0.00000807"
"77","REQETH","0.00024694"
"78","VIBBTC","0.00000787"
"79","VIBETH","0.00023897"
"80","TRXBTC","0.00000359"
"81","TRXETH","0.00010904"
"82","POWRBTC","0.00002495"
"83","POWRETH","0.00076257"
"84","ARKBTC","0.00011540"
"85","ARKETH","0.00350400"
"86","YOYOETH","0.00016308"
"87","XRPBTC","0.00007818"
"88","XRPETH","0.00237775"
"89","MODBTC","0.00013140"
"90","MODETH","0.00398100"
"91","ENJBTC","0.00000786"
"92","ENJETH","0.00023953"
"93","STORJBTC","0.00004817"
"94","STORJETH","0.00145970"
"95","BNBUSDT","9.57620000"
"96","YOYOBNB","0.00362200"
"97","POWRBNB","0.01678000"
"98","KMDBTC","0.00018690"
"99","KMDETH","0.00568100"
"100","NULSBNB","0.11181000"
"101","RCNBTC","0.00000537"
"102","RCNETH","0.00016369"
"103","RCNBNB","0.00359000"
"104","NULSBTC","0.00016603"
"105","NULSETH","0.00504921"
"106","RDNBTC","0.00007714"
"107","RDNETH","0.00234810"
"108","RDNBNB","0.05170000"
"109","XMRBTC","0.01693700"
"110","XMRETH","0.51435000"
"111","DLTBNB","0.00989000"
"112","WTCBNB","0.31320000"
"113","DLTBTC","0.00001461"
"114","DLTETH","0.00044329"
"115","AMBBTC","0.00002863"
"116","AMBETH","0.00087201"
"117","AMBBNB","0.01932000"
"118","BCCETH","2.69567000"
"119","BCCUSDT","570.33000000"
"120","BCCBNB","59.50000000"
"121","BATBTC","0.00004593"
"122","BATETH","0.00140035"
"123","BATBNB","0.03084000"
"124","BCPTBTC","0.00001654"
"125","BCPTETH","0.00050161"
"126","BCPTBNB","0.01110000"
"127","ARNBTC","0.00011052"
"128","ARNETH","0.00336077"
"129","GVTBTC","0.00158070"
"130","GVTETH","0.04803000"
"131","CDTBTC","0.00000306"
"132","CDTETH","0.00009355"
"133","GXSBTC","0.00020330"
"134","GXSETH","0.00619700"
"135","NEOUSDT","16.04700000"
"136","NEOBNB","1.67900000"
"137","POEBTC","0.00000178"
"138","POEETH","0.00005439"
"139","QSPBTC","0.00000636"
"140","QSPETH","0.00019456"
"141","QSPBNB","0.00423100"
"142","BTSBTC","0.00001479"
"143","BTSETH","0.00044815"
"144","BTSBNB","0.00996000"
"145","XZCBTC","0.00156600"
"146","XZCETH","0.04754400"
"147","XZCBNB","1.04600000"
"148","LSKBTC","0.00043330"
"149","LSKETH","0.01317700"
"150","LSKBNB","0.29120000"
"151","TNTBTC","0.00000566"
"152","TNTETH","0.00017085"
"153","FUELBTC","0.00000386"
"154","FUELETH","0.00011786"
"155","MANABTC","0.00001374"
"156","MANAETH","0.00041680"
"157","BCDBTC","0.00026900"
"158","BCDETH","0.00820000"
"159","DGDBTC","0.00622700"
"160","DGDETH","0.18872000"
"161","IOTABNB","0.04975000"
"162","ADXBTC","0.00003304"
"163","ADXETH","0.00100960"
"164","ADXBNB","0.02216000"
"165","ADABTC","0.00001165"
"166","ADAETH","0.00035468"
"167","PPTBTC","0.00052640"
"168","PPTETH","0.01611500"
"169","CMTBTC","0.00001365"
"170","CMTETH","0.00041402"
"171","CMTBNB","0.00916000"
"172","XLMBTC","0.00004029"
"173","XLMETH","0.00122474"
"174","XLMBNB","0.02709000"
"175","CNDBTC","0.00000388"
"176","CNDETH","0.00011800"
"177","CNDBNB","0.00261600"
"178","LENDBTC","0.00000307"
"179","LENDETH","0.00009292"
"180","WABIBTC","0.00004440"
"181","WABIETH","0.00135189"
"182","WABIBNB","0.02970000"
"183","LTCETH","0.24675000"
"184","LTCUSDT","52.11000000"
"185","LTCBNB","5.46000000"
"186","TNBBTC","0.00000142"
"187","TNBETH","0.00004312"
"188","WAVESBTC","0.00027740"
"189","WAVESETH","0.00844800"
"190","WAVESBNB","0.18640000"
"191","GTOBTC","0.00000991"
"192","GTOETH","0.00030095"
"193","GTOBNB","0.00665000"
"194","ICXBTC","0.00009400"
"195","ICXETH","0.00285300"
"196","ICXBNB","0.06302000"
"197","OSTBTC","0.00000784"
"198","OSTETH","0.00023805"
"199","OSTBNB","0.00521400"
"200","ELFBTC","0.00004943"
"201","ELFETH","0.00150425"
"202","AIONBTC","0.00006230"
"203","AIONETH","0.00190400"
"204","AIONBNB","0.04189000"
"205","NEBLBTC","0.00035800"
"206","NEBLETH","0.01082600"
"207","NEBLBNB","0.24111000"
"208","BRDBTC","0.00005377"
"209","BRDETH","0.00163310"
"210","BRDBNB","0.03573000"
"211","MCOBNB","0.44515000"
"212","EDOBTC","0.00020590"
"213","EDOETH","0.00633100"
"214","WINGSBTC","0.00002964"
"215","WINGSETH","0.00090200"
"216","NAVBTC","0.00005550"
"217","NAVETH","0.00169900"
"218","NAVBNB","0.03736000"
"219","LUNBTC","0.00060210"
"220","LUNETH","0.01825700"
"221","APPCBTC","0.00001587"
"222","APPCETH","0.00048770"
"223","APPCBNB","0.01051000"
"224","VIBEBTC","0.00000972"
"225","VIBEETH","0.00029610"
"226","RLCBTC","0.00006600"
"227","RLCETH","0.00200900"
"228","RLCBNB","0.04441000"
"229","INSBTC","0.00008270"
"230","INSETH","0.00251000"
"231","PIVXBTC","0.00020210"
"232","PIVXETH","0.00613600"
"233","PIVXBNB","0.13395000"
"234","IOSTBTC","0.00000188"
"235","IOSTETH","0.00005700"
"236","STEEMBTC","0.00012130"
"237","STEEMETH","0.00368900"
"238","STEEMBNB","0.08173000"
"239","NANOBTC","0.00028980"
"240","NANOETH","0.00882600"
"241","NANOBNB","0.19470000"
"242","VIABTC","0.00011730"
"243","VIAETH","0.00356400"
"244","VIABNB","0.07946000"
"245","BLZBTC","0.00002089"
"246","BLZETH","0.00063609"
"247","BLZBNB","0.01407000"
"248","AEBTC","0.00018010"
"249","AEETH","0.00549000"
"250","AEBNB","0.12061000"
"251","NCASHBTC","0.00000076"
"252","NCASHETH","0.00002306"
"253","NCASHBNB","0.00050500"
"254","POABTC","0.00001363"
"255","POAETH","0.00041743"
"256","POABNB","0.00919000"
"257","ZILBTC","0.00000545"
"258","ZILETH","0.00016590"
"259","ZILBNB","0.00363500"
"260","ONTBTC","0.00025590"
"261","ONTETH","0.00775900"
"262","ONTBNB","0.17200000"
"263","STORMBTC","0.00000134"
"264","STORMETH","0.00004104"
"265","STORMBNB","0.00089600"
"266","QTUMBNB","0.40837000"
"267","QTUMUSDT","3.90300000"
"268","XEMBTC","0.00001447"
"269","XEMETH","0.00043970"
"270","XEMBNB","0.00971000"
"271","WANBTC","0.00015010"
"272","WANETH","0.00456700"
"273","WANBNB","0.10158000"
"274","WPRBTC","0.00000509"
"275","WPRETH","0.00015464"
"276","QLCBTC","0.00000827"
"277","QLCETH","0.00025122"
"278","SYSBTC","0.00001383"
"279","SYSETH","0.00042048"
"280","SYSBNB","0.00925000"
"281","QLCBNB","0.00559800"
"282","GRSBTC","0.00007780"
"283","GRSETH","0.00237700"
"284","ADAUSDT","0.07486000"
"285","ADABNB","0.00781000"
"286","CLOAKBTC","0.00042680"
"287","CLOAKETH","0.01306000"
"288","GNTBTC","0.00002588"
"289","GNTETH","0.00079000"
"290","GNTBNB","0.01736000"
"291","LOOMBTC","0.00001753"
"292","LOOMETH","0.00053169"
"293","LOOMBNB","0.01178000"
"294","XRPUSDT","0.50179000"
"295","REPBTC","0.00230600"
"296","REPETH","0.07034000"
"297","REPBNB","1.55400000"
"298","TUSDBTC","0.00015764"
"299","TUSDETH","0.00479332"
"300","TUSDBNB","0.10575000"
"301","ZENBTC","0.00231100"
"302","ZENETH","0.07018000"
"303","ZENBNB","1.54700000"
"304","SKYBTC","0.00045900"
"305","SKYETH","0.01399000"
"306","SKYBNB","0.30600000"
"307","EOSUSDT","5.42590000"
"308","EOSBNB","0.56830000"
"309","CVCBTC","0.00002070"
"310","CVCETH","0.00063055"
"311","CVCBNB","0.01398000"
"312","THETABTC","0.00001413"
"313","THETAETH","0.00042982"
"314","THETABNB","0.00954000"
"315","XRPBNB","0.05242000"
"316","TUSDUSDT","1.01090000"
"317","IOTAUSDT","0.47520000"
"318","XLMUSDT","0.25881000"
"319","IOTXBTC","0.00000274"
"320","IOTXETH","0.00008334"
"321","QKCBTC","0.00000743"
"322","QKCETH","0.00022556"
"323","AGIBTC","0.00001010"
"324","AGIETH","0.00030639"
"325","AGIBNB","0.00682000"
"326","NXSBTC","0.00010060"
"327","NXSETH","0.00303100"
"328","NXSBNB","0.06720000"
"329","ENJBNB","0.00531700"
"330","DATABTC","0.00000620"
"331","DATAETH","0.00018987"
"332","ONTUSDT","1.64100000"
"333","TRXBNB","0.00241000"
"334","TRXUSDT","0.02303000"
"335","ETCUSDT","9.52870000"
"336","ETCBNB","0.99480000"
"337","ICXUSDT","0.60280000"
"338","SCBTC","0.00000094"
"339","SCETH","0.00002852"
"340","SCBNB","0.00062900"
"341","NPXSBTC","0.00000024"
"342","NPXSETH","0.00000732"
"343","KEYBTC","0.00000110"
"344","KEYETH","0.00003352"
"345","NASBTC","0.00021970"
"346","NASETH","0.00666200"
"347","NASBNB","0.14614000"
"348","MFTBTC","0.00000140"
"349","MFTETH","0.00004260"
"350","MFTBNB","0.00094500"
"351","DENTBTC","0.00000037"
"352","DENTETH","0.00001150"
"353","ARDRBTC","0.00001610"
"354","ARDRETH","0.00049166"
"355","ARDRBNB","0.01081000"
"356","NULSUSDT","1.06280000"
"357","HOTBTC","0.00000015"
"358","HOTETH","0.00000480"
"359","VETBTC","0.00000161"
"360","VETETH","0.00004875"
"361","VETUSDT","0.01028000"
"362","VETBNB","0.00109000"
"363","DOCKBTC","0.00000393"
"364","DOCKETH","0.00011906"
"365","POLYBTC","0.00004081"
"366","POLYBNB","0.02740000"
"367","PHXBTC","0.00000388"
"368","PHXETH","0.00011886"
"369","PHXBNB","0.00260000"
"370","HCBTC","0.00027900"
"371","HCETH","0.00850500"
"372","GOBTC","0.00001089"
"373","GOBNB","0.00726500"
"374","PAXBTC","0.00015711"
"375","PAXBNB","0.10536000"
"376","PAXUSDT","1.00830000"
"377","PAXETH","0.00477450"
"378","RVNBTC","0.00000586"
"379","RVNBNB","0.00391500"
"380","DCRBTC","0.00609300"
"381","DCRBNB","4.11500000"
