"","Currency","CurrencyLong","MinConfirmation","TxFee","IsActive","IsRestricted","CoinType","BaseAddress","Notice"
"1","BTC","Bitcoin",2,5e-04,TRUE,FALSE,"BITCOIN","1N52wHoVR79PMDishab2XmRHsbekCdGquK",NA
"2","LTC","Litecoin",6,0.01,TRUE,FALSE,"BITCOIN","LhyLNfBkoKshT7R8Pce6vkB9T2cP2o84hx",NA
"3","DOGE","Dogecoin",6,2,TRUE,FALSE,"BITCOIN","D9GqmkGCpgtnXP7xMD78v9xfqeDkqBZBMT",NA
"4","VTC","Vertcoin",300,0.02,TRUE,FALSE,"BITCOIN16","VfukW89WKT9h3YjHZdSAAuGNVGELY31wyj",NA
"5","PPC","Peercoin",6,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"6","FTC","Feathercoin",150,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"7","RDD","ReddCoin",20,2,TRUE,FALSE,"BITCOIN",NA,NA
"8","NXT","NXT",8,2,TRUE,FALSE,"NXT","NXT-97H4-KRWL-A53G-7GVRG",NA
"9","DASH","Dash",6,0.05,TRUE,FALSE,"BITCOIN","XxsTca1ATYAuZdCo6E8ePQQovGG5bvayeN",NA
"10","POT","PotCoin",20,0.002,TRUE,FALSE,"BITCOIN",NA,NA
"11","BLK","BlackCoin",6,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"12","EMC2","Einsteinium",1000,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"13","XMY","Myriad",20,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"14","AUR","AuroraCoin",150,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"15","EFL","ElectronicGulden",256,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"16","GLD","GoldCoin",100,2e-04,TRUE,FALSE,"BITCOIN",NA,NA
"17","FAIR","FairCoin",10,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"18","SLR","SolarCoin",20,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"19","PTC","PesetaCoin ",40,0.002,TRUE,FALSE,"BITCOIN",NA,NA
"20","GRS","Groestlcoin",20,0.2,TRUE,FALSE,"BITCOIN16",NA,NA
"21","NLG","Gulden",20,0.2,TRUE,FALSE,"BITCOINEX",NA,NA
"22","RBY","RubyCoin",10,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"23","XWC","WhiteCoin",20,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"24","MONA","MonaCoin",100,0.2,TRUE,FALSE,"BITCOIN16","MVPVmbbm7g3f9PF2xRV6RSoSnw8xfr8kNj",NA
"25","THC","HempCoin",14,0.2,TRUE,FALSE,"BITCOIN","HCt5LgCkUX39ekrQdEHaN8Rp5AHZP3MKTj",NA
"26","ENRG","EnergyCoin",20,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"27","ERC","EuropeCoin",20,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"28","VRC","VeriCoin",5,2e-04,TRUE,FALSE,"BITCOIN",NA,NA
"29","CURE","CureCoin",6,2e-04,TRUE,FALSE,"BITCOIN",NA,NA
"30","XMR","Monero",20,1e-04,TRUE,FALSE,"CRYPTO_NOTE_PAYMENTID","463tWEBn5XZJSxLU6uLQnQ2iY9xuNcDbjLSjkn3XAXHCbLrTTErJrBWYgHJQyrCwkNgYvyV3z8zctJLPCZy24jvb3NiTcTJ",NA
"31","CLOAK","CloakCoin",5,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"32","BSD","BitSend",100,0.002,TRUE,FALSE,"BITCOIN",NA,NA
"33","START","StartCoin",120,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"34","KORE","Kore",6,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"35","XDN","DigitalNote",15,0.01,FALSE,FALSE,"CRYPTO_NOTE_PAYMENTID","dddpmAwrXsaHVTBMMpsHfERfBsJ348x77QR6wpQFJ4zqDoXdF4vxJEK6ar8rmvrL6AZRWMh8AE1pDbWvY9EdpXN638mpYCJ62","Wallet Disabled"
"36","TRUST","TrustPlus",20,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"37","NAV","NAVCoin",150,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"38","XST","Stealth",20,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"39","VIA","ViaCoin",20,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"40","PINK","PinkCoin",100,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"41","IOC","I/OCoin",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"42","CANN","CannabisCoin",300,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"43","SYS","SysCoin",20,2e-04,TRUE,FALSE,"BITCOIN",NA,NA
"44","NEOS","NeosCoin",30,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"45","DGB","DigiByte",100,0.2,TRUE,FALSE,"BITCOIN16","DBF4pdn7CGZMkxFUvdMbfxyJ8cRqfwsurj",NA
"46","BTS","BitShares",2,5,TRUE,FALSE,"BITSHAREX","bittrex-deposit",NA
"47","BURST","BURST",10,2,TRUE,FALSE,"NXT","BURST-HK9D-P74Q-XDEJ-D6PGM",NA
"48","PXI","Prime-XI",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"49","EXCL","ExclusiveCoin",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"50","BITS","Bitswift",30,2,TRUE,FALSE,"NXT","ARDOR-S42Z-ERET-QLMX-4JR77",NA
"51","DOPE","DopeCoin",6,0.002,TRUE,FALSE,"BITCOIN",NA,NA
"52","BLOCK","Blocknet",6,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"53","ABY","ArtByte",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"54","BYC","Bytecent",20,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"55","XMG","Magi",30,2e-04,TRUE,FALSE,"BITCOIN",NA,NA
"56","BLITZ","Blitzcash",6,0.02,TRUE,FALSE,"BITCOIN",NA,NA
"57","BAY","BitBay",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"58","SPR","SpreadCoin",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"59","VTR","vTorrent",6,0.02,TRUE,FALSE,"BITCOIN_STEALTH",NA,NA
"60","XRP","XRP",10,1,TRUE,FALSE,"RIPPLE","rPVMhWBsfF9iMXYj3aAzJVkPDTFNSyWdKy",NA
"61","GAME","GameCredits",150,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"62","NXS","Nexus",20,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"63","COVAL","Circuits of Value",6,200,TRUE,FALSE,"COUNTERPARTY","1AeqgtHedfA2yVXH6GiKLS2JGkfWfgyTC6",NA
"64","XCP","Counterparty",6,0.2,TRUE,FALSE,"COUNTERPARTY","1AeqgtHedfA2yVXH6GiKLS2JGkfWfgyTC6",NA
"65","BITB","BitBean",6,0.2,TRUE,FALSE,"BITCOIN",NA,NA
"66","XVG","Verge",100,5,TRUE,FALSE,"BITCOIN","DCUWt5ctZcPdPMYPV2o1xK1kqv7jNwxu4h",NA
