"","Symbol","mktcap"
"1","BTC",17358587
"259","ETH",3226565
"25","XRP",2854577
"639","BCH",1358625
"595","EOS",752175
"149","XLM",703696
"2","LTC",471145
"768","ADA",290425
"213","USDT",277840
"117","XMR",276403
"725","TRX",233150
"563","MIOTA",206383
"62","DASH",203602
"646","BNB",195169
"383","NEO",162615
"367","ETC",151498
"222","XEM",130361
"769","XTZ",125481
"410","ZEC",94960
"1692","VET",89916
"832","BTG",72747
"446","MKR",70706
"623","OMG",70405
"683","ZRX",68802
"39","DOGE",68732
"302","DCR",54791
"1246","ONT",54112
"535","QTUM",53858
"322","LSK",47812
"545","BAT",46264
"548","AE",43111
"1150","ZIL",43062
"932","BCD",41330
"141","BTS",39925
"472","NANO",39902
"843","ICX",38499
"265","SC",37704
"50","DGB",36958
"127","BCN",36684
"328","STEEM",34657
"1282","NPXS",34175
"183","XVG",32888
"664","BTM",30057
"348","WAVES",29018
"739","LINK",28965
"1500","AOA",27753
"1243","TUSD",27600
"279","REP",25598
"550","ETP",25503
"416","GNT",25167
"373","STRAT",24536
"871","ETN",24133
"614","PPT",22135
"1358","HOT",22100
"448","KMD",21740
"701","WTC",20859
"1935","PAX",20846
"592","SNT",20532
"2009","USDC",20532
"1285","WAN",17818
"366","ARDR",17359
"781","CNX",17090
"1256","RVN",16663
"1090","IOST",15897
"833","KCS",15481
"812","AION",15446
"107","MAID",15409
"1287","MITH",15370
"1370","NEXO",15351
"706","LRC",14391
"480","ARK",13253
"1175","POLY",13163
"327","DGD",12908
"585","GXS",12819
"731","MANA",12815
"54","RDD",12724
"689","HC",12599
"997","ELF",12438
"303","PIVX",12308
"570","BNT",12141
"555","VERI",11971
"998","WAX",11912
"1181","HT",11886
"925","QASH",11764
"87","MONA",11544
"590","FUN",11435
"1748","XET",11234
"602","MCO",11123
"546","ZEN",10900
"950","CMT",10702
"1004","DAI",10650
"1267","LOOM",10626
"1088","MOAC",10543
"669","DCN",10405
"691","NAS",10308
"1068","SXDT",10032
"1101","THETA",10000
"559","MGO",9984
"1270","DROP",9893
"32","NXT",9859
"867","POWR",9731
"591","PAY",9655
"1038","XIN",9617
"869","R",9586
"757","SALT",9463
"401","XZC",9110
"1447","DGTX",8938
"947","DRGN",8796
"744","KNC",8703
"630","CVC",8015
"608","GAS",7956
"1465","EDR",7947
"154","SYS",7801
"902","GVT",7429
"1172","ELA",7275
"796","ENG",7270
"677","DENT",7221
"995","STORM",7033
"838","NULS",7014
"1140","OCN",6983
"1314","CTXC",6970
"915","PRL",6792
"599","STORJ",6726
"746","SUB",6654
"1557","IQ",6430
"159","EMC",6335
"1254","BTCP",6328
"1728","INB",6314
"202","NXS",6296
"276","FCT",6185
"1488","GO",6089
"754","KIN",6065
"807","EDO",6058
"1308","ODE",6052
"1036","WICC",5956
"865","ENJ",5835
"1469","QKC",5777
"795","CND",5760
"823","REQ",5738
"96","GRS",5709
"1522","MFT",5680
"508","RLC",5604
"1155","MAN",5576
"786","BCO",5559
