"","Id","Name","Symbol","Algorithm","WithdrawFee","MinWithdraw","MaxWithdraw","MinBaseTrade","IsTipEnabled","MinTip","DepositConfirmations","Status","StatusMessage","ListingStatus","pumped","lastpump","lastpumpgroup","withpricedata","rankperc","rank"
"1",762,"$PAC","$PAC","X11",50,200,2e+07,2e-05,FALSE,0,20,"Maintenance","23 October  - Our $PAC wallet has been placed in maintenance while we work with the developers to resolve network issues. We apologise for any inconvenience and appreciate your patience until this is complete.","Active",FALSE,NA,NA,TRUE,NA,NA
"2",860,"0x","ZRX","None",0.01,0.02,2e+07,2e-05,FALSE,0,20,"OK",NA,"Active",FALSE,NA,NA,FALSE,0.0135989879822897,43
"3",562,"300 Token","300","None",0.01,0.02,2e+07,2e-05,FALSE,0,20,"OK","","Active",FALSE,NA,NA,TRUE,NA,NA
"4",427,"42-coin","42","Scrypt",2e-08,2e-07,2e+09,2e-05,FALSE,0,200,"OK",NA,"Active",FALSE,NA,NA,TRUE,0.316571790006325,1001
"5",339,"808","808","SHA256",0.01,0.02,1e+09,2e-05,FALSE,5,20,"OK",NA,"Active",FALSE,NA,NA,TRUE,NA,NA
"6",108,"8Bit","8BIT","POS",1,2,2e+09,2e-05,FALSE,0,200,"OK",NA,"Active",FALSE,NA,NA,TRUE,NA,NA
"7",759,"AC3","AC3","X11",0.01,0.02,2e+07,2e-05,FALSE,0,20,"Maintenance","23-Oct-2018 - AC3 Wallet placed in maintenance at request of the AC3 team. We apologise for this and seek your patience while we work to resolve the matter.","Active",FALSE,NA,NA,TRUE,0.334598355471221,1058
"8",285,"ACoin","ACOIN","SHA256",1e-04,4e-04,2e+09,2e-05,FALSE,0,20,"OK","9 October 2018 - ACoin (ACOIN) is in the process of being delisted from Cryptopia, and trade markets are now closed. Please cancel all open orders and withdraw any ACOIN balances to a compatible wallet at your earliest convenience. ACOIN will be fully delisted on 9 November 2018. For additional information on this delisting, please refer to this delisting notice on Help Centre here: http://ow.ly/UccO30m9r3G","Delisting",FALSE,NA,NA,TRUE,0.577482605945604,1826
"9",581,"Adcoin","ACC","Scrypt",0.01,0.02,2e+07,2e-05,FALSE,0,250,"OK",NA,"Active",FALSE,NA,NA,TRUE,0.583175205566097,1844
"10",593,"Adshares","ADST","None",30,60,2e+07,2e-05,FALSE,0,20,"OK","","Active",FALSE,NA,NA,TRUE,NA,NA
"11",835,"AdultChain","XXX","None",0.01,0.02,2e+07,2e-05,FALSE,1,20,"Maintenance","Wallet Maintenance - Investigating blockchain issues 26/10/18","Active",FALSE,NA,NA,FALSE,0.593295382669197,1876
"12",388,"AdvancedTechnologyCoin","ARC","X11",0.01,0.02,2e+09,2e-05,FALSE,0,200,"OK",NA,"Active",FALSE,NA,NA,TRUE,NA,NA
"13",463,"Alexandrite","ALEX","SHA256",0.01,0.02,2e+09,2e-05,FALSE,0,20,"OK","9 October 2018 - Alexandrite (ALEX) is in the process of being delisted from Cryptopia, and trade markets are now closed. Please cancel all open orders and withdraw any ALEX balances to a compatible wallet at your earliest convenience. ALEX will be fully delisted on 9 November 2018. For additional information on this delisting, please refer to this delisting notice on Help Centre here: http://ow.ly/UccO30m9r3G","Delisting",TRUE,"2018-09-09 14:00:00","ExeCrypto",TRUE,NA,NA
"14",673,"ALIS","ALIS","None",50,100,2e+07,2e-05,FALSE,0,20,"OK","","Active",TRUE,"2018-10-27 18:00:00","optimus_pump",TRUE,0.211891208096142,670
"15",475,"Allion","ALL","Scrypt",0.01,0.02,2e+07,2e-05,FALSE,1.05485232,480,"OK",NA,"Active",TRUE,"2018-10-14 20:00:00","DonaldPumpCrypto",TRUE,NA,NA
"16",601,"Alphabit","ABC","None",0.11,0.22,2e+07,2e-05,FALSE,0,20,"OK"," ","Active",FALSE,NA,NA,TRUE,NA,NA
