"","telegroup","username","datetime","Symbol","dex","pair","open_price","high_price","low_price","close_price","views","volumeto","volumeto_before","pump_gain","dump_loss","withdata","reprate","withcryptopiadata"
"2","Signals Lion","PrivateLionGroup",2018-10-28 20:00:00,"GNO","Cryptopia","BTC",0.002903,0.002904,0.002904,0.002904,NA,0.001551,0.009231,0.000344471236651636,0,TRUE,0.275,TRUE
"3","CryptoMoon Pumps","CryptoMoonPumpGroup",2018-10-28 19:00:00,"KRONE","Cryptopia","BTC",3.2e-07,3.2e-07,3.2e-07,3.2e-07,161,8e-04,0.0005773,0,0,TRUE,0.277310924369748,TRUE
"4","Official McAfee Pump Signals","officialmcafeepumpsignals",2018-10-28 17:59:00,"CL","Cryptopia","BTC",9e-07,9e-07,9e-07,8.3e-07,NA,0.04245,0.021545,0,-0.0777777777777777,TRUE,0.271186440677966,TRUE
"6","CryptoMoon Pumps","CryptoMoonPumpGroup",2018-10-27 21:01:00,"RKC","Cryptopia","BTC",4.8e-07,4.8e-07,4.8e-07,4.5e-07,161,0.024136,0.02933,0,-0.0625,TRUE,0.273504273504274,TRUE
"7","??Robin HOOD??","robingoodsignal",2018-10-27 20:00:00,"UMO","Cryptopia","BTC",2.39e-06,2.63e-06,2.39e-06,2.63e-06,480,0.004984,0.004424,0.100418410041841,0,TRUE,0.275862068965517,TRUE
"8","Crypto Bulls Pump ®??","cryptobullspumpvip",2018-10-27 20:00:00,"SOON","Cryptopia","BTC",4e-07,4e-07,4e-07,4e-07,653,0,0.0039103,0,0,TRUE,0.275862068965517,TRUE
"10","Optimus Pump","optimus_pump",2018-10-27 18:00:00,"ALIS","Cryptopia","BTC",7.85e-06,7.85e-06,7.85e-06,7.85e-06,NA,0.0005495,0,0,0,TRUE,0.271929824561404,TRUE
"11","Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-10-27 16:59:00,"DARK","Cryptopia","BTC",3.06e-06,3.06e-06,3.06e-06,3.06e-06,NA,0,0.016047,0,0,TRUE,0.265486725663717,TRUE
"12","Crypto Pump Island","crypto_pump_island",2018-10-27 16:00:00,"HAC","Cryptopia","BTC",3.6e-07,3.6e-07,3.6e-07,3.6e-07,320,0,0.003878,0,0,TRUE,0.267857142857143,TRUE
"13","Crypto Family Pumps","CryptoFamilyPumps",2018-10-25 20:29:00,"XPTX","Cryptopia","BTC",2.5e-05,2.684e-05,2.451e-05,2.448e-05,779,0.015308,0.21616,0.0736,-0.0879284649776454,TRUE,0.27027027027027,TRUE
"14","??Robin HOOD??","robingoodsignal",2018-10-25 20:00:00,"SRC","Cryptopia","BTC",1.03e-06,1.04e-06,1.04e-06,1.04e-06,975,0.001955,0.023711,0.00970873786407758,0,TRUE,0.263636363636364,TRUE
"16","Crypto Pump Island","crypto_pump_island",2018-10-23 16:00:00,"FLAX","Cryptopia","BTC",5e-07,5.8e-07,5.8e-07,5.8e-07,985,0.02806,0.008199,0.16,0,TRUE,0.256880733944954,TRUE
"18","Official McAfee Pump Signals","officialmcafeepumpsignals",2018-10-22 20:29:00,"FANS","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.25,FALSE
"19","Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-10-22 19:59:00,"MATRX","Cryptopia","BTC",1.3e-07,1.3e-07,1.3e-07,1.3e-07,NA,0.007348,0.017855,0,0,TRUE,0.252336448598131,TRUE
"20","Super Signals","pumpsxxx",2018-10-21 19:59:00,"EDC","Cryptopia","BTC",6e-08,6e-08,6e-08,6e-08,NA,0,0,0,0,TRUE,0.245283018867925,TRUE
"22","Crypto Bulls Pump ®??","cryptobullspumpvip",2018-10-20 19:00:00,"FLAX","Cryptopia","BTC",4.6e-07,4.6e-07,4.2e-07,3.6e-07,653,0.004937,0.003312,0,-0.217391304347826,TRUE,0.238095238095238,TRUE
