"telegroup","username","datetime","Symbol","dex","pair","open_price","high_price","low_price","close_price","views","volumeto","volumeto_before","pump_gain","dump_loss"
"Inner Signals Circle - BITTREX / UPBIT (???????)","innersignalscircle",2018-10-29 13:00:00,"EXCL","Bittrex","BTC",4.631e-05,4.811e-05,4.602e-05,4.602e-05,7867,0.553,10.81587,0.038868494925502,-0.0434421118270629
"Signals Lion","PrivateLionGroup",2018-10-28 20:00:00,"GNO","Cryptopia","BTC",0.002903,0.002904,0.002904,0.002904,NA,0.001551,0.009231,0.000344471236651636,0
"CryptoMoon Pumps","CryptoMoonPumpGroup",2018-10-28 19:00:00,"KRONE","Cryptopia","BTC",3.2e-07,3.2e-07,3.2e-07,3.2e-07,161,8e-04,0.0005773,0,0
"Official McAfee Pump Signals","officialmcafeepumpsignals",2018-10-28 17:59:00,"CL","Cryptopia","BTC",9e-07,9e-07,9e-07,8.3e-07,NA,0.04245,0.021545,0,-0.0777777777777777
"Mega Pump Group","mega_pump_group",2018-10-28 17:05:00,"RDN","Binance","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CryptoMoon Pumps","CryptoMoonPumpGroup",2018-10-27 21:01:00,"RKC","Cryptopia","BTC",4.8e-07,4.8e-07,4.8e-07,4.5e-07,161,0.024136,0.02933,0,-0.0625
"??Robin HOOD??","robingoodsignal",2018-10-27 20:00:00,"UMO","Cryptopia","BTC",2.39e-06,2.63e-06,2.39e-06,2.63e-06,480,0.004984,0.004424,0.100418410041841,0
"Crypto Bulls Pump ®??","cryptobullspumpvip",2018-10-27 20:00:00,"SOON","Cryptopia","BTC",4e-07,4e-07,4e-07,4e-07,653,0,0.0039103,0,0
"MassivePump","massivepump1",2018-10-27 18:01:00,"ALIS","Yobit","BTC",7.23e-06,7.79e-06,7.23e-06,7.79e-06,31,0.0005453,0.001105,0.0774550484094052,0
"Optimus Pump","optimus_pump",2018-10-27 18:00:00,"ALIS","Cryptopia","BTC",7.85e-06,7.85e-06,7.85e-06,7.85e-06,NA,0.0005495,0,0,0
"Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-10-27 16:59:00,"DARK","Cryptopia","BTC",3.06e-06,3.06e-06,3.06e-06,3.06e-06,NA,0,0.016047,0,0
"Crypto Pump Island","crypto_pump_island",2018-10-27 16:00:00,"HAC","Cryptopia","BTC",3.6e-07,3.6e-07,3.6e-07,3.6e-07,320,0,0.003878,0,0
"Crypto Family Pumps","CryptoFamilyPumps",2018-10-25 20:29:00,"XPTX","Cryptopia","BTC",2.5e-05,2.684e-05,2.451e-05,2.448e-05,779,0.015308,0.21616,0.0736,-0.0879284649776454
"??Robin HOOD??","robingoodsignal",2018-10-25 20:00:00,"SRC","Cryptopia","BTC",1.03e-06,1.04e-06,1.04e-06,1.04e-06,975,0.001955,0.023711,0.00970873786407758,0
"Whales Crypto Guide","Whalesguide",2018-10-24 20:00:00,"GRS","Binance","BTC",8.64e-05,8.755e-05,8.555e-05,8.438e-05,NA,11.12,11.78,0.0133101851851852,-0.0362078812107367
"Crypto Pump Island","crypto_pump_island",2018-10-23 16:00:00,"FLAX","Cryptopia","BTC",5e-07,5.8e-07,5.8e-07,5.8e-07,985,0.02806,0.008199,0.16,0
"MEGA SIGNAL on Upbit/Bittrex","",2018-10-23 14:00:00,"DYN","Bittrex","BTC",0.0001205,0.0001222,0.0001205,0.0001186,NA,0.21998,0.295305,0.0141078838174273,-0.0294599018003273
"Official McAfee Pump Signals","officialmcafeepumpsignals",2018-10-22 20:29:00,"FANS","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-10-22 19:59:00,"MATRX","Cryptopia","BTC",1.3e-07,1.3e-07,1.3e-07,1.3e-07,NA,0.007348,0.017855,0,0
"Super Signals","pumpsxxx",2018-10-21 19:59:00,"EDC","Cryptopia","BTC",6e-08,6e-08,6e-08,6e-08,NA,0,0,0,0
"Big Pump Signal","bigpumpsignal",2018-10-20 21:05:00,"XZC","Binance","BTC",0.001585,0.001586,0.001555,0.001565,15993,19.77,29.48,0.00063091482649837,-0.0132408575031526
"Crypto Bulls Pump ®??","cryptobullspumpvip",2018-10-20 19:00:00,"FLAX","Cryptopia","BTC",4.6e-07,4.6e-07,4.2e-07,3.6e-07,653,0.004937,0.003312,0,-0.217391304347826
"Crypto Pump Island","crypto_pump_island",2018-10-20 16:00:00,"PCOIN","Cryptopia","BTC",1.3e-06,1.5e-06,1.3e-06,1.1e-06,819,0.055124,0.031041,0.153846153846154,-0.266666666666667
"Crypto Signals","cryptosignalsvipr",2018-10-19 18:00:00,"UFR","Yobit","BTC",7.35e-06,8.34e-06,7.35e-06,7.31e-06,578,0.0018103,0.000735,0.13469387755102,-0.123501199040767
"John McAfee Yobit Pump","cryptojohnmcafee",2018-10-19 17:00:00,"SNPT","Yobit","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"?? Cryptopia Signal ??","cryptopiaPumpp",2018-10-19 12:00:00,"IXC","Cryptopia","BTC",3.9e-06,3.91e-06,3.8e-06,3.8e-06,489,0.008926,0.0181575,0.00256410256410254,-0.0281329923273657
"Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-10-18 21:29:00,"KOBO","Cryptopia","BTC",3.01e-06,3.01e-06,3.01e-06,2.64e-06,NA,0.005339,0.0169934,0,-0.122923588039867
"Signals Lion","PrivateLionGroup",2018-10-18 19:55:00,"TAJ","Cryptopia","BTC",5.4e-07,5.7e-07,5.4e-07,5.7e-07,NA,0.006706,0.004922,0.0555555555555556,0
"Bomba bitcoin ""cryptopia""","bombabitcoin1",2018-10-18 18:00:00,"ELC","Yobit","BTC",1.336e-05,1.336e-05,1.336e-05,1.336e-05,95,0,0.013651,0,0
"Big Pump Signal","bigpumpsignal",2018-10-17 20:01:00,"POLY","Binance","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"??Cryptopia Pump Community????","Cryptopia_PumpCommunity",2018-10-17 19:30:00,"SDRN","Cryptopia","BTC",4e-07,7.3e-07,4.5e-07,5.5e-07,NA,0.23828,0.06329,0.825,-0.246575342465753
"CAMP(Crypto &amp; Massive Pumps)","ExeCrypto",2018-10-16 16:29:00,"GRW","Cryptopia","BTC",9e-08,9e-08,8e-08,8e-08,217,0.009076,5e-04,0,-0.111111111111111
"Crypto Pump Island","crypto_pump_island",2018-10-16 16:00:00,"DRXNE","Cryptopia","BTC",1.3e-07,1.3e-07,1.3e-07,1.3e-07,981,0,0.005909,0,0
"Super Pumps &amp; Signal Kings","superpumpssignalkings",2018-10-15 19:29:00,"NEVA","Cryptopia","BTC",3.42e-06,3.42e-06,3.42e-06,3.4e-06,NA,0.0006019,0.0022982,0,-0.00584795321637421
"Donald Pump","DonaldPumpCrypto",2018-10-14 20:00:00,"ALL","Cryptopia","BTC",6.5e-07,6.8e-07,6.5e-07,6.8e-07,592,0.006945,0.06,0.046153846153846,0
"Whales Crypto Guide","Whalesguide",2018-10-13 20:00:00,"EDO","Binance","BTC",0.000166,0.0001725,0.000169,0.0001708,NA,9.58,10.54,0.0391566265060241,-0.00985507246376804
"Bomba bitcoin ""cryptopia""","bombabitcoin1",2018-10-13 18:00:00,"SRN","Yobit","BTC",1.2e-05,1.2e-05,1.2e-05,1.2e-05,161,0,0.02429,0,0
"Crypto Signals VIP®","cryptosignalsvipr",2018-10-13 18:00:00,"SRN","Yobit","BTC",1.2e-05,1.2e-05,1.2e-05,1.2e-05,596,0,0.02429,0,0
"Official McAfee Pump Signals","officialmcafeepumpsignals",2018-10-12 20:29:00,"FT","Cryptopia","BTC",2.23e-06,2.23e-06,2.23e-06,2.23e-06,NA,0,0.147443,0,0
"Signals Lion","PrivateLionGroup",2018-10-11 20:00:00,"MAC","Cryptopia","BTC",9.4e-07,9.5e-07,9.5e-07,9.5e-07,NA,0.002624,0.0077708,0.0106382978723404,0
"CAMP(Crypto &amp; Massive Pumps)","ExeCrypto",2018-10-10 21:00:00,"C2","Cryptopia","BTC",1.5e-07,2e-07,1.5e-07,2e-07,263,0.001911,0.0003127,0.333333333333333,0
"John McAfee Signals","cryptojohnmcafee",2018-10-10 18:03:00,"TAO","Yobit","BTC",3.5e-06,3.5e-06,3.5e-06,3.5e-06,417,0,0,0,0
"Crypto Pump Island","crypto_pump_island",2018-10-10 16:00:00,"SKR","Cryptopia","BTC",1.7e-07,1.7e-07,1.7e-07,1.7e-07,1235,0,0.0007608,0,0
"CAMP(Crypto &amp; Massive Pumps)","ExeCrypto",2018-10-09 20:59:00,"CQST","Cryptopia","BTC",8e-08,8e-08,8e-08,8e-08,261,0.000998,0.011963,0,0
"??DUTCH CRYPTO PUMPS!??","nederlandsecryptopumps",2018-10-09 20:37:00,"CON","Cryptopia","BTC",2e-07,2e-07,2e-07,1.8e-07,134,0.02366,0,0,-0.1
"Whales Crypto Guide","Whalesguide",2018-10-09 20:00:00,"OAX","Binance","BTC",3.218e-05,3.259e-05,3.218e-05,3.246e-05,NA,2.3675,4.7782,0.0127408328154132,-0.00398895366676896
"Signal Plug ????","Signal_Plug",2018-10-09 20:00:00,"XZX","Cryptopia","BTC",NA,NA,NA,NA,NA,NA,NA,NA,NA
